category,stockNo,stockName,lastPrice,revenue,revenueGrowthYOY,operatingProfit,operatingProfitMargin,netProfit,netProfitMargin,EPS,EPSGrowthYOYPercent,yrEnd
Watch & Jewellery,01929.HK,CHOW TAI FOOK,17.580,70.16B,23.000%,8.39B,11.958%,6.03B,8.589%,0.603,107.931%,2021/03
Watch & Jewellery,02033.HK,TIME WATCH,0.910,1.73B,-27.000%,196.10M,11.359%,91.40M,5.294%,0.044,-70.068%,2020/06
Toys,00180.HK,KADER HOLDINGS,0.440,401.43M,-4.000%,-11.27M,-3.026%,-110.37M,-29.645%,-0.116,-668.874%,2020/12
Toys,00209.HK,WINSHINE SCI,0.039,364.31M,-43.000%,-110.11M,-30.224%,-95.78M,-26.290%,-0.026,-125.862%,2020/12
Toys,00348.HK,CHINAHEALTHWISE,0.330,137.85M,27.000%,-72.93M,-52.903%,-25.22M,-18.296%,-0.033,78.814%,2020/12
Toys,00381.HK,KIU HUNG INT'L,0.058,203.35M,1.000%,-88.03M,-43.292%,-71.78M,-35.297%,-0.135,78.328%,2020/12
Toys,00413.HK,SC HOLDINGS,0.110,4.09B,-7.000%,308.58M,7.552%,69.78M,1.708%,0.005,-89.130%,2020/12
Textile & Apparels,00238.HK,EVERGREEN INT,0.255,323.96M,-19.000%,-97.34M,-30.048%,-127.31M,-39.298%,-0.134,23.243%,2018/12
Textile & Apparels,00294.HK,YANGTZEKIANG,2.150,420.48M,-35.000%,-22.46M,-5.341%,-27.82M,-6.617%,-0.130,48.000%,2021/03
Textile & Apparels,00321.HK,TEXWINCA HOLD,1.750,7.35B,-3.000%,410.85M,5.589%,274.21M,3.730%,0.198,62.295%,2021/03
Textile & Apparels,00420.HK,FOUNTAIN SET,1.380,4.94B,-25.000%,119.89M,2.425%,85.71M,1.734%,0.070,-39.655%,2020/12
Textile & Apparels,00518.HK,TUNGTEX (HOLD),0.390,460.38M,-35.000%,-23.23M,-5.046%,256.00M,55.606%,0.567,N/A,2021/03
Watch & Jewellery,02882.HK,HKRH,0.045,804.86M,-44.000%,-92.41M,-11.482%,-62.72M,-7.793%,-0.049,71.345%,2020/06
Watch & Jewellery,02923.HK,CONTINENTAL-OLD,0.500,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Watch & Jewellery,03326.HK,PERFECT GROUP,0.325,366.93M,-53.000%,121.75M,33.182%,76.53M,20.856%,0.057,-55.249%,2020/12
Watch & Jewellery,03389.HK,HENGDELI,0.325,1.45B,-46.000%,-413.41M,-28.433%,-456.59M,-31.403%,-0.098,-23.182%,2020/12
Watch & Jewellery,08219.HK,HANVEY GROUP,0.054,139.34M,-29.000%,-26.19M,-18.794%,-26.21M,-18.809%,-0.026,-80.690%,2020/12
Toys,00635.HK,PLAYMATES,0.900,536.32M,-13.000%,-482.59M,-89.982%,-507.60M,-94.645%,-0.241,N/A,2020/12
Toys,00765.HK,PERFECTECH INTL,1.300,162.04M,14.000%,-8.01M,-4.941%,-15.80M,-9.751%,-0.048,71.318%,2020/12
Toys,00869.HK,PLAYMATES TOYS,0.690,289.24M,-19.000%,-32.54M,-11.250%,-30.06M,-10.394%,-0.026,19.304%,2020/12
Toys,01005.HK,MATRIX HOLDINGS,2.700,901.14M,-31.000%,14.29M,1.586%,10.59M,1.175%,0.010,-94.737%,2020/12
Toys,01126.HK,DREAM INT'L,3.060,3.78B,-4.000%,339.73M,8.988%,272.78M,7.217%,0.403,-42.869%,2020/12
Textile & Apparels,00528.HK,KINGDOM HOLDING,1.270,1.26B,-24.000%,-45.13M,-3.581%,-11.86M,-0.941%,-0.024,N/A,2020/12
Textile & Apparels,00643.HK,CARRY WEALTH,0.153,290.52M,-12.000%,-15.27M,-5.258%,-15.27M,-5.258%,-0.019,-3.315%,2020/12
Textile & Apparels,00707.HK,ATV HOLDINGS,0.041,183.68M,4.000%,-247.60M,-134.804%,-206.34M,-112.340%,-0.024,71.381%,2020/12
Textile & Apparels,01367.HK,SFUND INTL HLDG,0.510,11.76M,-81.000%,-81.27M,-691.222%,-77.55M,-659.573%,-0.162,30.375%,2020/12
Textile & Apparels,01382.HK,PACIFICTEXTILES,4.670,5.38B,-1.000%,788.94M,14.651%,721.49M,13.398%,0.510,N/A,2021/03
Watch & Jewellery,08537.HK,CHONG FAI JEWEL,0.079,101.70M,-15.000%,-1.33M,-1.307%,-280.00K,-0.275%,0.000,94.521%,2021/03
Soft Drinks,00359.HK,HAISHENG JUICE,0.094,1.42B,3.000%,105.99M,7.441%,-186.92M,-13.122%,-0.145,-158.874%,2020/12
Toys,01348.HK,QUALI-SMART,0.280,485.79M,17.000%,-23.50M,-4.836%,-35.63M,-7.334%,-0.024,59.328%,2021/03
Toys,02122.HK,KIDSLAND INTL,0.240,1.64B,-14.000%,-144.10M,-8.794%,-151.48M,-9.245%,-0.189,-64.863%,2020/12
Toys,03830.HK,KIDDIELAND,0.180,276.32M,-4.000%,192.17M,69.546%,163.83M,59.290%,0.164,N/A,2020/04
Toys,06918.HK,KIDZTECH,1.530,352.70M,-3.000%,49.37M,13.998%,28.78M,8.159%,0.057,-37.566%,2020/12
Toys,08545.HK,AMUSE GROUP,0.094,211.47M,2.000%,12.57M,5.943%,8.68M,4.103%,0.009,16.000%,2021/03
Textile & Apparels,01400.HK,MOODY TECH HLDG,0.096,246.33M,-57.000%,-109.82M,-44.584%,-261.08M,-105.992%,-0.906,47.703%,2020/12
Textile & Apparels,01440.HK,DEYUN HOLDING,0.740,236.57M,N/A,62.94M,26.607%,52.23M,22.079%,0.055,N/A,2020/12
Textile & Apparels,01682.HK,HP LIVING TECH,0.160,120.06M,-1.000%,-960.00K,-0.800%,-3.96M,-3.298%,-0.006,83.607%,2021/03
Textile & Apparels,01795.HK,YADONG GROUP,0.630,919.50M,N/A,67.78M,7.371%,42.90M,4.665%,0.092,N/A,2020/12
Textile & Apparels,01968.HK,HINGTEX HLDGS,0.212,255.44M,-49.000%,-42.65M,-16.698%,-41.03M,-16.063%,-0.064,N/A,2020/12
Soft Drinks,00364.HK,BLOCKCHAIN GP,0.091,281.76M,-6.000%,69.57M,24.692%,-145.94M,-51.794%,-0.125,87.173%,2017/12
Soft Drinks,00506.HK,CHINA FOODS,2.810,20.56B,7.000%,1.45B,7.059%,594.44M,2.891%,0.213,27.290%,2020/12
Soft Drinks,00756.HK,SUMMI,0.160,55.90M,-13.000%,345.76M,618.550%,345.76M,618.548%,0.257,N/A,2020/06
Soft Drinks,00904.HK,CHINA GREEN,0.218,492.00M,-10.000%,-839.31M,-170.591%,-926.55M,-188.322%,-2.540,-19.986%,2020/04
Soft Drinks,01115.HK,TIBET WATER,0.840,587.46M,-27.000%,96.47M,16.421%,20.23M,3.444%,0.008,N/A,2020/12
Toys,09992.HK,POP MART,72.000,3.00B,N/A,856.72M,28.597%,623.97M,20.828%,0.524,N/A,2020/12
Textile & Apparels,01982.HK,NAMESON HLDGS,0.660,3.85B,-14.000%,367.63M,9.552%,313.68M,8.151%,0.138,99.710%,2021/03
Textile & Apparels,02020.HK,ANTA SPORTS,175.900,42.33B,11.000%,10.91B,25.772%,6.15B,14.536%,2.287,3.018%,2020/12
Textile & Apparels,02111.HK,BEST PACIFIC,2.550,3.49B,-3.000%,289.97M,8.298%,257.77M,7.377%,0.248,-14.281%,2020/12
Textile & Apparels,02123.HK,GOLDEN SHIELD,0.224,940.78M,-22.000%,71.84M,7.636%,50.54M,5.372%,0.054,-63.538%,2012/12
Textile & Apparels,02199.HK,REGINA MIRACLE,2.720,5.97B,-5.000%,265.92M,4.451%,125.52M,2.101%,0.103,-56.540%,2021/03
Soft Drinks,01446.HK,HUNGFOOKTONG,0.510,702.47M,-9.000%,73.99M,10.532%,62.53M,8.901%,0.095,522.876%,2020/12
Soft Drinks,02119.HK,TSIT WING INTL,1.040,638.51M,-18.000%,91.78M,14.374%,76.80M,12.028%,0.103,4.348%,2020/12
Soft Drinks,02150.HK,NAYUKI,16.660,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Soft Drinks,02218.HK,ANDRE JUICE,6.780,1.00B,7.000%,182.77M,18.211%,180.90M,18.026%,0.489,-6.958%,2020/12
Soft Drinks,02898.HK,LONGRUN TEA,0.380,56.13M,-1.000%,-50.77M,-90.457%,-50.77M,-90.457%,-0.035,28.131%,2021/03
Packaged Foods,00060.HK,HK FOOD INV,0.710,131.12M,-6.000%,-13.19M,-10.060%,-4.16M,-3.174%,-0.016,82.777%,2021/03
Textile & Apparels,02223.HK,CASABLANCA,0.710,309.28M,-18.000%,19.34M,6.253%,16.13M,5.215%,0.063,-12.709%,2020/12
Textile & Apparels,02228.HK,CECEP COSTIN,0.600,36.88K,223.000%,-11.00M,"-29,827.273%",-25.63M,"-69,509.091%",-0.011,-52.673%,2019/12
Textile & Apparels,02299.HK,BILLION IND,5.270,10.50B,7.000%,1.43B,13.626%,953.48M,9.080%,0.447,9.052%,2019/12
Textile & Apparels,02307.HK,KAM HING INT'L,0.410,3.83B,-12.000%,-9.11M,-0.238%,-37.30M,-0.975%,-0.043,N/A,2020/12
Textile & Apparels,02368.HK,EAGLE NICE,5.260,3.25B,7.000%,422.39M,13.001%,313.56M,9.651%,0.589,40.238%,2021/03
Soft Drinks,06868.HK,TENFU,5.420,2.04B,1.000%,581.37M,28.481%,364.02M,17.833%,0.334,24.434%,2020/12
Soft Drinks,08241.HK,YING KEE TEA,0.225,36.09M,-2.000%,-9.13M,-25.296%,-9.14M,-25.330%,-0.025,25.731%,2021/03
Soft Drinks,09633.HK,NONGFU SPRING,38.900,27.27B,N/A,8.33B,30.538%,6.29B,23.068%,0.572,N/A,2020/12
Packaged Foods,00142.HK,FIRST PACIFIC,2.700,55.28B,-6.000%,5.12B,9.257%,1.56B,2.827%,0.361,N/A,2020/12
Packaged Foods,00197.HK,HENG TAI,0.090,541.92M,-35.000%,-318.65M,-58.800%,-318.34M,-58.743%,-0.170,-13.333%,2020/06
Packaged Foods,00322.HK,TINGYI,16.060,80.59B,16.000%,7.63B,9.467%,4.84B,6.008%,0.861,30.023%,2020/12
Packaged Foods,00829.HK,SHENGUAN HLDGS,0.410,1.15B,2.000%,132.06M,11.522%,108.17M,9.438%,0.033,29.844%,2020/12
Packaged Foods,00834.HK,KANGDA FOOD,0.350,1.81B,14.000%,-19.74M,-1.089%,-42.98M,-2.371%,-0.099,N/A,2020/12
Textile & Apparels,02668.HK,PAK TAK INT'L,0.234,3.01B,103.000%,70.88M,2.366%,21.28M,0.711%,0.007,-61.170%,2020/12
Textile & Apparels,02678.HK,TEXHONG TEXTILE,12.500,23.33B,-5.000%,1.02B,4.371%,616.29M,2.641%,0.679,-37.325%,2020/12
Textile & Apparels,02698.HK,WEIQIAO TEXTILE,2.520,15.19B,-10.000%,558.58M,3.678%,244.14M,1.607%,0.203,0.732%,2020/12
Textile & Apparels,02903.HK,VICTORY CITY,0.290,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
Packaged Foods,01152.HK,MOMENTUM FIN,0.050,353.96M,18.000%,10.37M,2.929%,4.51M,1.274%,0.005,N/A,2020/12
Packaged Foods,01175.HK,FRESH EXP,0.059,1.94B,796.000%,-100.57M,-5.187%,-102.68M,-5.296%,-0.062,11.432%,2020/03
Packaged Foods,01210.HK,CHRISTINE,0.173,481.43M,-21.000%,-119.38M,-24.797%,-131.55M,-27.325%,-0.130,47.632%,2020/12
Packaged Foods,01262.HK,LABIXIAOXIN,0.305,606.48M,16.000%,66.10M,10.898%,-35.05M,-5.778%,-0.024,83.591%,2020/12
Packaged Foods,01285.HK,JIASHILI GP,1.760,1.81B,1.000%,203.89M,11.265%,170.05M,9.395%,0.410,38.845%,2020/12
Packaged Foods,01458.HK,ZHOU HEI YA,9.510,2.60B,-26.000%,206.68M,7.949%,180.24M,7.406%,0.083,-58.522%,2020/12
Packaged Foods,01475.HK,NISSIN FOODS,6.040,3.52B,13.000%,433.94M,12.332%,301.91M,8.580%,0.281,20.334%,2020/12
Packaged Foods,01583.HK,QINQIN FOODS,2.280,944.97M,22.000%,29.14M,3.084%,21.05M,2.227%,0.031,-77.815%,2020/12
Packaged Foods,01676.HK,SHENGHAI GROUP,1.560,193.94M,-63.000%,-36.16M,-18.646%,-38.44M,-19.823%,-0.385,N/A,2020/12
Packaged Foods,01705.HK,B & S INTL HLDG,0.610,483.07M,-5.000%,1.64M,0.340%,583.00K,0.121%,0.002,-44.444%,2021/03
Packaged Foods,01767.HK,TS WONDERS,0.370,407.91M,15.000%,52.02M,12.752%,40.06M,9.820%,0.040,137.890%,2020/12
Packaged Foods,01837.HK,NATURAL FOOD IH,0.500,1.71B,-13.000%,-63.24M,-3.688%,-17.23M,-1.005%,-0.012,N/A,2020/12
Packaged Foods,01927.HK,JIUJIUWANG,0.385,478.23M,N/A,71.72M,14.998%,52.54M,10.986%,0.088,N/A,2020/12
Packaged Foods,03799.HK,DALI FOODS,4.650,24.98B,4.000%,6.09B,24.362%,4.59B,18.360%,0.334,6.658%,2020/12
Packaged Foods,06836.HK,TIANYUN INT'L,1.630,1.01B,-14.000%,209.89M,20.711%,177.89M,17.554%,0.180,-6.364%,2020/12
Medicine,00239.HK,PAK FAH YEOW,1.850,113.67M,-23.000%,-33.25M,-30.406%,-38.36M,-35.079%,-0.123,N/A,2020/12
Packaged Foods,08362.HK,WINNING TOWER,0.030,76.81M,-42.000%,-6.66M,-8.667%,-5.73M,-7.466%,-0.004,24.074%,2020/12
Packaged Foods,08413.HK,ASIA GROCERY,0.300,227.71M,11.000%,-14.38M,-6.313%,-14.62M,-6.420%,-0.013,-306.452%,2021/03
Packaged Foods,08476.HK,OCEAN ONE HLDG,0.820,327.75M,1.000%,33.33M,10.170%,27.35M,8.344%,0.098,46.269%,2021/03
Packaged Foods,08491.HK,COOL LINK,0.051,160.80M,16.000%,-808.68K,-0.503%,-2.04M,-1.268%,-0.004,56.550%,2020/12
Medicine,00241.HK,ALI HEALTH,16.560,18.38B,75.000%,506.97M,2.758%,412.83M,2.246%,0.031,N/A,2021/03
Medicine,00401.HK,WANJIA GROUP,0.111,114.09M,17.000%,-2.09M,-1.831%,-4.54M,-3.976%,-0.008,91.802%,2021/03
Medicine,00455.HK,TIANDA PHARMA,0.224,474.33M,-3.000%,-27.44M,-5.785%,-27.14M,-5.722%,-0.013,N/A,2021/03
Medicine,00460.HK,SIHUAN PHARM,3.130,2.94B,-8.000%,938.17M,31.942%,564.22M,19.210%,0.060,N/A,2020/12
Medicine,00503.HK,LANSEN PHARMA,2.530,421.65M,N/A,99.64M,23.631%,683.85M,162.183%,1.722,387.071%,2020/12
Medicine,00512.HK,CHINAGRANDPHARM,7.160,6.35B,-3.000%,2.01B,31.664%,1.79B,28.218%,0.520,48.149%,2020/12
Medicine,00570.HK,TRAD CHI MED,5.150,17.65B,10.000%,2.97B,16.822%,1.98B,11.234%,0.394,11.696%,2020/12
Medicine,00574.HK,PASHUN INT'L,0.075,565.96M,-40.000%,-507.46M,-89.665%,-498.76M,-88.126%,-0.338,-126.149%,2020/12
Medicine,00575.HK,ENDURANCE RP,0.178,13.11M,133.000%,-192.89M,"-1,884.848%",-189.13M,"-1,848.106%",-0.102,63.669%,2020/12
Medicine,00719.HK,SHANDONG XINHUA,3.980,7.16B,14.000%,503.56M,7.035%,387.20M,5.409%,0.620,15.546%,2020/12
Medicine,00775.HK,CKLIFE SCIENCES,0.860,4.94B,N/A,119.13M,2.410%,125.23M,2.534%,0.013,-31.217%,2020/12
Medicine,00858.HK,EXTRAWELL PHAR,0.139,78.80M,1.000%,-116.78M,-148.199%,-121.10M,-153.674%,-0.051,N/A,2021/03
Medicine,00867.HK,CMS,19.980,8.28B,21.000%,3.17B,38.329%,3.02B,36.430%,1.220,38.122%,2020/12
Medicine,00874.HK,BAIYUNSHAN PH,24.200,73.51B,1.000%,4.38B,5.955%,3.47B,4.727%,2.137,-2.480%,2020/12
Medicine,00950.HK,LEE'S PHARM,4.780,1.22B,N/A,151.92M,12.486%,129.32M,10.628%,0.220,3.629%,2020/12
Medical Equipment &  Services,00286.HK,AIDIGONG,1.180,601.21M,-1.000%,102.93M,17.120%,-381.35M,-63.431%,-0.100,N/A,2020/12
Medicine,01011.HK,NT PHARMA,0.118,264.28M,54.000%,-238.73M,-90.333%,-426.22M,-161.276%,-0.226,39.323%,2020/12
Medicine,01061.HK,ESSEX BIO-TECH,7.300,978.11M,-23.000%,250.85M,25.647%,218.93M,22.382%,0.379,-27.558%,2020/12
Medicine,01093.HK,CSPC PHARMA,11.040,29.73B,20.000%,7.25B,24.372%,6.15B,20.686%,0.514,48.161%,2020/12
Medicine,01099.HK,SINOPHARM,22.800,544.00B,14.000%,21.17B,3.891%,8.57B,1.575%,2.753,16.767%,2020/12
Medicine,01110.HK,KINGWORLD,0.780,888.42M,-18.000%,87.78M,9.881%,13.96M,1.572%,0.023,-70.898%,2020/12
Medical Equipment &  Services,00383.HK,CHINA MED&HCARE,0.111,1.19B,-35.000%,-96.56M,-8.086%,-111.93M,-9.373%,-0.008,N/A,2020/12
Medical Equipment &  Services,00648.HK,WAH YAN-NEW,0.380,194.21M,52.000%,-111.09M,-57.200%,-311.39M,-160.335%,-1.584,67.660%,2016/12
Medical Equipment &  Services,00673.HK,CHINA HEALTH,0.075,87.89M,94.000%,-4.44M,-5.047%,-7.74M,-8.811%,-0.002,78.652%,2021/03
Medical Equipment &  Services,00708.HK,EVERG VEHICLE,28.000,18.46B,193.000%,-5.50B,-29.789%,-8.81B,-47.745%,-1.014,-77.179%,2020/12
Medical Equipment &  Services,00718.HK,TAI UNITED HOLD,0.149,153.73M,98.000%,55.65M,296.747%,-26.78M,-142.807%,-0.005,89.126%,2020/12
Medicine,01177.HK,SINO BIOPHARM,7.470,28.19B,4.000%,5.98B,21.213%,3.30B,11.718%,0.176,7.094%,2020/12
Medicine,01345.HK,PIONEER PHARM,1.260,1.59B,7.000%,129.20M,8.138%,62.51M,3.937%,0.048,-52.597%,2020/12
Medicine,01498.HK,PURAPHARM,0.700,601.82M,-13.000%,40.22M,6.683%,31.71M,5.269%,0.086,N/A,2020/12
Medicine,01513.HK,LIVZON PHARMA,36.600,12.54B,19.000%,2.98B,23.768%,2.04B,16.301%,2.181,40.420%,2020/12
Medicine,01530.HK,3SBIO,9.440,6.66B,12.000%,1.20B,18.058%,996.18M,14.958%,0.393,-7.376%,2020/12
Medical Equipment &  Services,00722.HK,UMP,0.930,583.12M,-1.000%,71.73M,12.867%,58.92M,10.568%,0.078,355.556%,2020/06
Medical Equipment &  Services,00853.HK,MICROPORT,66.900,5.03B,-18.000%,-1.30B,-25.829%,-1.48B,-29.481%,-0.851,N/A,2020/12
Medical Equipment &  Services,00876.HK,KAISA HEALTH,0.160,183.81M,-26.000%,-37.83M,-20.578%,-39.69M,-21.594%,-0.008,88.762%,2020/12
Medical Equipment &  Services,00928.HK,LIFE HEALTHCARE,0.112,102.04M,59.000%,5.64M,5.529%,-4.58M,-4.491%,-0.004,83.621%,2021/03
Medical Equipment &  Services,01066.HK,WEIGAO GROUP,17.620,13.52B,16.000%,2.96B,21.920%,2.42B,17.894%,0.536,17.063%,2020/12
Medicine,01558.HK,HEC PHARM,8.600,2.80B,-59.000%,1.50B,53.432%,1.00B,35.750%,1.132,-52.541%,2020/12
Medicine,01643.HK,MODERN CHI MED,0.950,367.93M,N/A,124.96M,33.964%,75.78M,20.596%,0.168,N/A,2020/12
Medicine,01652.HK,FUSEN PHARM,3.180,580.28M,27.000%,73.76M,12.711%,83.59M,14.405%,0.107,37.131%,2020/12
Medicine,01666.HK,TONG REN TANG,7.120,5.49B,9.000%,1.12B,20.479%,557.28M,10.148%,0.441,19.586%,2020/12
Medical Equipment &  Services,01298.HK,YUNNAN ENERGY,1.700,60.99M,-80.000%,-62.20M,-101.986%,-62.20M,-101.986%,-0.226,-214.325%,2020/12
Medical Equipment &  Services,01302.HK,LIFETECH SCI,4.800,765.56M,2.000%,315.24M,41.178%,257.55M,33.642%,0.060,72.029%,2020/12
Medical Equipment &  Services,01358.HK,PW MEDTECH,1.020,294.82M,-27.000%,617.78M,209.546%,753.06M,255.431%,0.480,722.613%,2020/12
Medical Equipment &  Services,01419.HK,HUMAN HEALTH,0.990,453.74M,-14.000%,-37.87M,-8.346%,-40.37M,-8.898%,-0.106,N/A,2020/06
Medical Equipment &  Services,01501.HK,KDL MEDICAL,36.000,427.21M,33.000%,163.50M,38.272%,144.64M,33.857%,0.870,-1.443%,2020/12
Medical Equipment &  Services,01515.HK,CR MEDICAL,8.900,3.28B,38.000%,462.31M,14.101%,369.65M,11.275%,0.298,-13.986%,2020/12
Medical Equipment &  Services,01518.HK,NC HEALTHCARE,1.330,611.19M,-25.000%,-368.01M,-60.213%,-442.65M,-72.425%,-0.918,"-1,542.529%",2020/12
Medical Equipment &  Services,01526.HK,RICI HEALTH,1.300,2.29B,18.000%,90.32M,3.936%,-9.39M,-0.409%,N/A,N/A,2020/12
Medical Equipment &  Services,01612.HK,VINCENT MED,1.840,1.16B,130.000%,292.23M,25.293%,216.87M,18.770%,0.338,"1,769.613%",2020/12
Medical Equipment &  Services,01696.HK,SISRAM MED,16.180,1.26B,-6.000%,129.18M,10.279%,103.46M,8.232%,0.234,-36.025%,2020/12
Household Appliances,00229.HK,RAYMOND IND,1.130,1.29B,11.000%,76.88M,5.962%,63.22M,4.902%,0.128,61.977%,2020/12
Medical Equipment &  Services,01789.HK,AK MEDICAL,13.160,1.23B,19.000%,439.72M,35.632%,374.26M,30.328%,0.334,14.862%,2020/12
Medical Equipment &  Services,01830.HK,PERFECT MEDICAL,8.740,1.15B,-7.000%,365.89M,33.575%,284.63M,26.119%,0.243,-24.534%,2021/03
Medical Equipment &  Services,01833.HK,PA GOODDOCTOR,93.100,8.18B,44.000%,-1.10B,-13.387%,-1.13B,-13.814%,-1.097,-34.418%,2020/12
Medical Equipment &  Services,01846.HK,EUROEYES,11.280,473.82M,10.000%,111.06M,23.439%,65.58M,13.841%,0.199,N/A,2020/12
Medical Equipment &  Services,01858.HK,CHUNLI MEDICAL,23.900,1.12B,16.000%,393.44M,35.203%,337.75M,30.220%,0.977,27.865%,2020/12
Household Appliances,00449.HK,CHIGO HOLDING,0.043,3.80B,-54.000%,-1.84B,-48.597%,-1.57B,-41.457%,-0.187,-176.867%,2019/12
Household Appliances,00638.HK,KIN YAT HOLD,1.050,2.69B,-13.000%,140.09M,5.200%,103.63M,3.847%,0.236,-39.055%,2021/03
Household Appliances,00669.HK,TECHTRONIC IND,133.800,76.07B,27.000%,6.67B,8.773%,6.21B,8.161%,3.396,29.518%,2020/12
Household Appliances,00684.HK,ALLAN INT'L,1.800,909.47M,-7.000%,54.54M,5.997%,46.40M,5.102%,0.138,N/A,2021/03
Household Appliances,00751.HK,SKYWORTH GROUP,2.130,47.79B,14.000%,2.58B,5.400%,1.72B,3.592%,0.587,113.359%,2020/12
Medical Equipment &  Services,01931.HK,IVD MEDICAL,3.230,2.89B,11.000%,270.29M,9.339%,189.18M,6.536%,0.142,-47.529%,2020/12
Medical Equipment &  Services,01951.HK,JXR,19.220,1.70B,-7.000%,416.13M,24.482%,299.91M,17.644%,0.119,-43.864%,2020/12
Medical Equipment &  Services,02120.HK,KN HOSPITAL,51.750,1.23B,27.000%,116.68M,9.493%,83.43M,6.788%,1.156,32.638%,2020/12
Medical Equipment &  Services,02135.HK,RAILY AESMED,0.560,196.12M,N/A,13.79M,7.030%,5.07M,2.583%,0.003,N/A,2020/12
Household Appliances,00833.HK,ALLTRONICS,0.385,2.20B,74.000%,189.86M,8.615%,122.44M,5.556%,0.129,N/A,2020/12
Household Appliances,00921.HK,HISENSE HA,10.300,57.68B,37.000%,3.81B,6.603%,1.88B,3.263%,1.383,-6.270%,2020/12
Household Appliances,01280.HK,QIDIAN INTL,1.030,351.73M,-33.000%,-63.49M,-18.050%,-83.21M,-23.659%,-0.552,42.429%,2020/12
Household Appliances,01455.HK,FOURACE IND GP,0.310,437.45M,N/A,71.80M,16.413%,58.14M,13.291%,0.053,N/A,2021/03
Household Appliances,01691.HK,JS GLOBAL LIFE,21.750,32.53B,38.000%,4.18B,12.859%,2.67B,8.209%,0.806,444.978%,2020/12
Household Appliances,01692.HK,TOWNRAY HLDGS,2.100,541.70M,6.000%,122.74M,22.659%,104.19M,19.234%,0.275,44.363%,2020/12
Household Appliances,02148.HK,VESYNC,11.800,2.71B,N/A,465.62M,17.212%,424.27M,15.683%,0.524,N/A,2020/12
Household Appliances,02381.HK,SMC ELECTRIC,0.130,249.41M,N/A,49.75M,19.947%,36.35M,14.576%,0.019,N/A,2020/12
Household Appliances,06690.HK,HAIER SMARTHOME,26.950,249.95B,N/A,14.23B,5.691%,10.58M,4.233%,1.597,N/A,2020/12
Household Appliances,08222.HK,E LIGHTING,0.087,82.23M,18.000%,8.26M,10.050%,8.16M,9.920%,0.018,N/A,2021/03
Health Products,00897.HK,WAI YUEN TONG,0.335,1.11B,78.000%,-307.79M,-27.764%,-376.00M,-33.917%,-0.305,N/A,2021/03
Health Products,00911.HK,QIANHAI HEALTH,0.117,760.72M,29.000%,835.00K,0.110%,-804.00K,-0.106%,-0.001,N/A,2020/12
Health Products,00932.HK,SHUNTEN INTL,0.126,223.15M,-29.000%,-101.15M,-45.327%,-127.38M,-57.082%,-0.050,15.905%,2021/03
Health Products,02031.HK,AUSUPREME,0.290,102.91M,-51.000%,4.02M,3.904%,3.84M,3.735%,0.005,-68.750%,2021/03
Health Products,02161.HK,JBM HEALTHCARE,1.500,397.16M,N/A,50.28M,12.659%,22.60M,5.690%,0.028,N/A,2021/03
Health Products,03332.HK,SINOLIFE UTD,0.183,353.43M,-1.000%,-52.64M,-14.893%,-59.12M,-16.729%,-0.062,72.830%,2020/12
Furniture & Household Goods,00396.HK,HING LEE (HK),0.142,203.47M,-32.000%,-56.56M,-27.799%,-59.21M,-29.098%,-0.073,43.831%,2020/12
Furniture & Household Goods,00464.HK,C OVS NUOXIN,0.500,365.84M,-18.000%,-23.05M,-6.300%,-24.43M,-6.677%,-0.055,39.057%,2021/03
Furniture & Household Goods,00526.HK,CHINA AUTO NR,0.068,1.29B,-59.000%,-142.95M,-11.060%,-168.62M,-13.046%,-0.021,N/A,2020/03
Furniture & Household Goods,00531.HK,SAMSON HOLDING,0.330,3.08B,-13.000%,-130.57M,-4.236%,-108.60M,-3.523%,-0.035,71.280%,2020/12
Furniture & Household Goods,00599.HK,E. BON HOLDINGS,0.410,422.45M,-17.000%,16.74M,3.963%,10.77M,2.549%,0.018,-5.291%,2021/03
Furniture & Household Goods,00776.HK,IMPERIUM GP,11.040,186.36M,-20.000%,-73.04M,-39.191%,-80.21M,-43.042%,-0.280,-3.704%,2020/12
Furniture & Household Goods,00837.HK,CARPENTER TAN,3.790,330.47M,-12.000%,120.67M,36.515%,94.23M,28.515%,0.379,-31.154%,2020/12
Furniture & Household Goods,00943.HK,ZHONGZHENG INTL,0.028,154.69M,-22.000%,-59.18M,-38.253%,-53.79M,-34.771%,-0.005,24.242%,2020/12
Furniture & Household Goods,01027.HK,CHINA JICHENG,0.740,410.48M,-34.000%,-37.93M,-9.240%,-40.90M,-9.963%,-0.212,-121.023%,2020/12
Furniture & Household Goods,01049.HK,CELESTIAL ASIA,1.500,1.40B,N/A,50.76M,3.680%,39.99M,2.898%,0.655,N/A,2020/12
Furniture & Household Goods,01086.HK,GOODBABY INTL,1.740,8.30B,-5.000%,320.81M,3.863%,256.57M,3.089%,0.150,25.000%,2020/12
Furniture & Household Goods,01198.HK,ROYALE HOME,1.910,1.44B,69.000%,1.05B,72.509%,714.78M,49.517%,0.275,905.005%,2020/12
